Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
25baee19-948d-49b7-a5fe-a26f51f7f2e3,2018-11-14 11:44:20,Walking,,1.75,26:14,14:59,4.00,106.0,18,,"","",2018-11-14-114420.gpx
fb448fef-96a9-4775-bfb0-f8909a64d8d0,2018-11-13 17:03:03,Walking,,3.84,43:51,11:26,5.25,242.0,63,,"","",2018-11-13-170303.gpx
65477279-8053-40e9-81b9-796c0ac7b429,2018-11-13 07:11:34,Walking,,3.48,37:00,10:38,5.64,201.0,27,,"","",2018-11-13-071134.gpx
0908ed04-9acd-4130-900e-344fdd060e56,2018-11-12 12:00:00,Walking,,1.48,20:00,13:33,4.43,81.0,4,,"","",2018-11-12-120000.gpx
69c24318-438a-444c-b1bd-14f65fc9e417,2018-11-12 07:35:00,Cycling,,3.43,13:11,3:50,15.62,68.0,10,,"","",2018-11-12-073500.gpx
27cf7ce3-6c76-4403-af00-2c23c2c42072,2018-11-10 23:42:21,Cycling,"Cykla till herr Larsson",2.48,13:00,5:15,11.44,69.0,19,,"","",2018-11-10-234221.gpx
6a1cc1f0-8ddb-44b7-b10a-40ee926c3db1,2018-11-10 18:55:00,Cycling,,2.48,13:00,5:15,11.44,69.0,19,,"","",2018-11-10-185500.gpx
cfbb717a-3036-488c-9ad2-7f663abd7905,2018-11-10 15:07:27,Cycling,,14.79,49:28,3:21,17.93,357.0,153,,"","",2018-11-10-150727.gpx
f1275291-71fd-4795-b8c3-7463dd796e61,2018-11-09 15:09:27,Walking,,3.42,35:14,10:19,5.82,211.0,62,,"","",2018-11-09-150927.gpx
5e450e3d-90cd-4f52-960a-07a742d44f9d,2018-11-09 11:59:41,Walking,,2.25,24:31,10:54,5.51,131.0,18,,"","",2018-11-09-115941.gpx
1e2a88ea-0536-42ef-aa11-eee9ff79c403,2018-11-09 07:32:58,Walking,,3.47,35:00,10:05,5.95,210.0,26,,"","",2018-11-09-073258.gpx
c82fa525-9da8-4d78-9fe6-5d72f43abd8f,2018-11-08 20:31:00,Walking,,3.53,40:07,11:22,5.28,190.0,46,,"","",2018-11-08-203100.gpx
80a150da-4fcd-40ca-97f6-972caa6abedc,2018-11-08 11:45:00,Walking,,1.07,14:37,13:39,4.40,61.0,9,,"","",2018-11-08-114500.gpx
917ca189-bad6-4c2a-8757-8f262f60fc65,2018-11-08 06:58:44,Walking,,3.42,34:19,10:02,5.98,205.0,27,,"","",2018-11-08-065844.gpx
